selected_frame_id,camera_id,source_sync_metadata_path,source_rgb_path,source_pcl_path,source_compact_instance_label_path,output_labeled_pcl_path,point_count,zero_label_point_count,unknown_label_point_count,unique_class_label_count,unique_instance_id_count,status,notes
0,cam_corner_ne,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_corner_ne_labeled_colorized.ply,19190,0,0,8,26,ok,
0,cam_corner_nw,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_corner_nw_labeled_colorized.ply,19191,0,0,8,28,ok,
0,cam_corner_se,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_se/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_se/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_se/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_se/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_corner_se_labeled_colorized.ply,19200,0,0,9,39,ok,
0,cam_corner_sw,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_sw/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_sw/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_sw/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_sw/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_corner_sw_labeled_colorized.ply,19200,0,0,8,27,ok,
0,cam_wall_east,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_east/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_east/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_east/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_east/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_wall_east_labeled_colorized.ply,19200,0,0,8,35,ok,
0,cam_wall_north,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_north/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_north/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_north/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_north/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_wall_north_labeled_colorized.ply,19190,0,0,8,28,ok,
0,cam_wall_south,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_south/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_south/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_south/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_south/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_wall_south_labeled_colorized.ply,19200,0,0,9,33,ok,
0,cam_wall_west,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_west/metadata/sync_000000.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_west/rgb/000000.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_west/ply/000000.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_wall_west/compact_instance_label/000000.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_000/cam_wall_west_labeled_colorized.ply,19200,0,0,8,26,ok,
1,cam_corner_ne,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/metadata/sync_000001.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/rgb/000001.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/ply/000001.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_ne/compact_instance_label/000001.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_001/cam_corner_ne_labeled_colorized.ply,19190,0,0,8,26,ok,
1,cam_corner_nw,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/metadata/sync_000001.json,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/rgb/000001.ppm,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/ply/000001.ply,rt_out/experiments/perception_rt_small_v0/perception_raw/native/sync_stable_instance_rgb_pcl/cam_corner_nw/compact_instance_label/000001.pgm,rt_out/experiments/perception_rt_small_v0/reconstruction/labeled_colorized_pcl_sync/frame_001/cam_corner_nw_labeled_colorized.ply,19191,0,0,8,28,ok,
